
Best fit: 0	Avg fit: 0
Best fit: 1147.4	Avg fit: 28.204
Best fit: 1518.2	Avg fit: 31.32
Best fit: 1345	Avg fit: 29.356
Best fit: 1278.8	Avg fit: 28.316
Best fit: 1518.2	Avg fit: 33.176
Best fit: 1663.8	Avg fit: 34.772
Best fit: 1386.8	Avg fit: 32.008
Best fit: 1518.2	Avg fit: 32.076
Best fit: 1518.2	Avg fit: 31.504
Best fit: 1757.6	Avg fit: 232.252
Best fit: 1757.6	Avg fit: 362.86
Best fit: 1757.6	Avg fit: 264.108
Best fit: 1867	Avg fit: 273.424
Best fit: 1867	Avg fit: 264.024
Best fit: 1757.6	Avg fit: 242.5
Best fit: 3414.6	Avg fit: 385.492
Best fit: 2356.4	Avg fit: 239.592
525.756	8518.4	8518.4
988.908	8518.4	8518.4
832.236	8518.4	8518.4
1062.68	7063.8	8518.4
1156.096	8518.4	8518.4
1744.36	8518.4	8518.4
1319.848	11320.8	11320.8
2318.356	11289.6	11320.8
2475.544	17561.6	17561.6
2429.96	17561.6	17561.6
4003531.404	200008640	200008640
42323.896	1464635.2	1464635.2
1346.256	8087	8087
158211.776	2352399	2352399
190521.336	4625860	4625860
173314.128	5583914.4	5583914.4
335788.136	9424307.2	9424307.2
4089210.984	200171699.2	200171699.2
393333.828	6297036	200171699.2
8293242.356	201731443.2	201731443.2
147260.64	4345215.2	201731443.2
52010.848	775988	201731443.2
215094.728	2862182.6	201731443.2
4300201.708	208271897.6	208271897.6
4113560.504	203178240	208271897.6
4110944.88	200732582.4	208271897.6
4100618.04	200002944	208271897.6
4288524.36	200006387.2	208271897.6
347853.64	5108036.8	208271897.6
4146636.168	200109760	208271897.6
4203353.356	200733401.6	208271897.6
261243.364	9366439.2	208271897.6
552651.176	8800314.4	208271897.6
322997.392	9711774.4	208271897.6
4175160.288	200399641.6	208271897.6
12110459.556	400004249.6	400004249.6
4188144.452	203726988.8	400004249.6
4320953.012	203010662.4	400004249.6
4216711.396	202265894.4	400004249.6
8164208.216	205488128	400004249.6
4311623.46	205590476.8	400004249.6
8302282.992	204777984	400004249.6
12268784.136	206285990.4	400004249.6
12247651.304	205066329.6	400004249.6
231659.808	6977010.4	400004249.6
234042.124	5031273.6	400004249.6
8397317.928	205456307.2	400004249.6
15539,86	403613,6	403613,6
1406,54	16250,8	16250,8
1530,032	18946,8	18946,8
103687	18946,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
16503,8	16503,8	18946,8
